id,customer_id,order_date,status,amount
1,1,2023-01-15,completed,10.00
2,2,2023-01-20,completed,20.00
3,3,2023-01-22,completed,15.00
4,1,2023-02-01,completed,25.00
5,4,2023-02-05,completed,30.00
6,5,2023-02-10,completed,18.00
7,2,2023-02-14,returned,22.00
8,6,2023-02-20,completed,35.00
9,3,2023-03-01,completed,12.00
10,7,2023-03-05,completed,45.00
11,1,2023-03-10,completed,28.00
12,8,2023-03-15,completed,55.00
13,4,2023-03-20,completed,40.00
14,9,2023-04-01,completed,32.00
15,5,2023-04-05,return_pending,19.00
16,10,2023-04-10,completed,60.00
17,6,2023-04-15,completed,27.00
18,2,2023-04-20,completed,48.00
19,11,2023-05-01,completed,36.00
20,7,2023-05-05,completed,72.00
21,12,2023-05-10,completed,15.00
22,3,2023-05-15,completed,44.00
23,13,2023-05-20,completed,29.00
24,8,2023-06-01,completed,81.00
25,14,2023-06-05,completed,23.00
26,9,2023-06-10,completed,57.00
27,15,2023-06-15,completed,34.00
28,10,2023-06-20,completed,66.00
29,1,2023-07-01,completed,43.00
30,11,2023-07-05,completed,38.00
